"ID","price","bedrooms","bathrooms","lot_size","year_built","postal_code","borough"
587,325000,3,2,309,1952,"H1L4C7","Mercier–Hochelaga-Maisonneuve"
588,399900,5,1,519,1955,"H1N3J9","Mercier–Hochelaga-Maisonneuve"
589,369900,4,2,520,1965,"H8Y2L8","Pierrefonds-Roxboro"
590,449000,4,1,186,1900,"H2K2P5","Ville-Marie"
591,1149000,4,2,499,1926,"H8R2N9","LaSalle"
592,479000,4,1,557,1964,"H9H1P2","Pierrefonds-Roxboro"
593,949000,4,2,244,1943,"H2G2N2","Rosemont–La Petite-Patrie"
594,275000,4,2,604,1966,"H9J1Z5","Pierrefonds-Roxboro"
595,610000,3,1,232,1945,"H3L2M3","Ahuntsic-Cartierville"
596,1299000,5,3,236,1910,"H2S2N8","Rosemont–La Petite-Patrie"
597,1395000,6,4,1797,1991,"H8Z2W8","Pierrefonds-Roxboro"
598,675000,3,2,228,1931,"H2A2C1","Villeray–Saint-Michel–Parc-Extension"
599,639000,3,1,311,1986,"H1R3X5","Saint-Léonard"
600,1425000,3,1,278,1918,"H4A3K8","Côte-des-Neiges–Notre-Dame-de-Grâce"
601,359900,5,1,474,1957,"H1B4L3","Rivière-des-Prairies–Pointe-aux-Trembles"
602,249000,3,1,382,1960,"H1A1L6","Rivière-des-Prairies–Pointe-aux-Trembles"
603,325000,4,1,663,1960,"H8Y1H7","Pierrefonds-Roxboro"
604,260000,4,1,209,1964,"H1B4M9","Rivière-des-Prairies–Pointe-aux-Trembles"
605,389000,3,2,275,1969,"H1G3X2","Montréal-Nord"
606,649000,4,2,1141,1900,"H9K1B4","Pierrefonds-Roxboro"
607,579000,3,2,609,1997,"H9K1M3","Pierrefonds-Roxboro"
608,710000,4,3,436,2000,"H1P3N8","Saint-Léonard"
609,489900,5,3,1023,1987,"H1A4S2","Rivière-des-Prairies–Pointe-aux-Trembles"
610,559000,4,3,362,1946,"H4E4B7","Le Sud-Ouest"
611,879000,5,3,485,2002,"H1R2E9","Saint-Léonard"
612,299000,4,1,164,1977,"H8R1K1","Lachine"
613,224000,4,1,556,1948,"H1H3H5","Montréal-Nord"
614,1148000,6,3,557,1995,"H4K2C2","Ahuntsic-Cartierville"
615,329000,3,1,348,1900,"H8S2Y1","Lachine"
616,394900,4,2,563,1959,"H8Z2R3","Pierrefonds-Roxboro"
617,249000,2,1,1533,1955,"H9C1C3","L'Île-Bizard–Sainte-Geneviève"
618,275000,2,1,381,1960,"H1E1Z5","Rivière-des-Prairies–Pointe-aux-Trembles"
619,849900,3,3,458,1985,"H4M2X3","Saint-Laurent"
620,359000,4,1,460,1958,"H1G4T7","Montréal-Nord"
621,479000,4,3,463,1988,"H9A1B4","Pierrefonds-Roxboro"
622,199900,2,1,338,1943,"H1B3Y1","Rivière-des-Prairies–Pointe-aux-Trembles"
623,1099000,3,2,1805,1978,"H8Z2N1","Pierrefonds-Roxboro"
624,1289000,3,3,530,2011,"H1R2C5","Saint-Léonard"
625,270000,2,1,538,1946,"H8Z1Y1","Pierrefonds-Roxboro"
626,419900,4,2,567,1964,"H8Z1N1","Pierrefonds-Roxboro"
627,335000,3,2,361,1982,"H1A4C6","Rivière-des-Prairies–Pointe-aux-Trembles"
628,1399000,4,3,242,1910,"H2S2G5","Rosemont–La Petite-Patrie"
629,799000,3,2,932,1984,"H1E3L7","Rivière-des-Prairies–Pointe-aux-Trembles"
630,449500,3,2,759,1975,"H9C1T1","L'Île-Bizard–Sainte-Geneviève"
631,1159000,3,2,1040,1946,"H4J2C3","Ahuntsic-Cartierville"
632,494900,3,2,492,1991,"H9K1J3","Pierrefonds-Roxboro"
633,619900,4,2,394,1960,"H1M1M3","Mercier–Hochelaga-Maisonneuve"
634,349000,2,1,474,1942,"H4L3B7","Saint-Laurent"
635,319900,3,1,465,1949,"H8Y2E4","Pierrefonds-Roxboro"
636,974000,4,3,719,1980,"H4K2N7","Ahuntsic-Cartierville"
637,499000,3,1,411,1948,"H8S3W2","Lachine"
638,1199900,4,3,3315,1974,"H9K1E6","Pierrefonds-Roxboro"
639,315000,6,2,541,1955,"H1A2V1","Rivière-des-Prairies–Pointe-aux-Trembles"
640,759000,4,1,465,1950,"H8T2T7","Lachine"
641,929000,4,3,797,1986,"H1R3Y1","Saint-Léonard"
642,1350000,3,2,251,1931,"H2G2G8","Rosemont–La Petite-Patrie"
643,429000,3,2,395,1951,"H4J1Z9","Ahuntsic-Cartierville"
644,398000,4,2,440,1987,"H1A4Z9","Rivière-des-Prairies–Pointe-aux-Trembles"
645,744000,4,2,349,1930,"H4H1Z6","Verdun"
646,299000,2,1,376,1959,"H1E2A3","Rivière-des-Prairies–Pointe-aux-Trembles"
647,499000,4,2,288,1981,"H1T3T7","Saint-Léonard"
648,750000,3,1,201,1875,"H3K2K9","Le Sud-Ouest"
649,950000,3,1,130,1885,"H2J2M7","Le Plateau-Mont-Royal"
650,1298000,4,3,156,1875,"H3G1V3","Ville-Marie"
651,1498000,4,2,360,1914,"H4A3N6","Côte-des-Neiges–Notre-Dame-de-Grâce"
652,319900,4,2,369,1991,"H1A5H4","Rivière-des-Prairies–Pointe-aux-Trembles"
653,449000,4,1,422,1985,"H1E5W5","Rivière-des-Prairies–Pointe-aux-Trembles"
654,339000,3,1,674,1982,"H8Z2Y4","Pierrefonds-Roxboro"
655,267900,2,1,146,1922,"H8S3M8","Lachine"
656,775000,2,1,375,1949,"H3X3R6","Côte-des-Neiges–Notre-Dame-de-Grâce"
657,317000,3,1,158,1986,"H1B3M7","Rivière-des-Prairies–Pointe-aux-Trembles"
658,525000,4,1,372,1947,"H4L3T2","Saint-Laurent"
659,1095000,4,3,175,1944,"H2G1E9","Rosemont–La Petite-Patrie"
660,467700,4,2,432,1983,"H1E3R1","Rivière-des-Prairies–Pointe-aux-Trembles"
661,1060000,3,2,187,1908,"H2J1S3","Le Plateau-Mont-Royal"
662,459000,3,2,348,1950,"H8S2Z9","Lachine"
663,379000,4,1,446,1982,"H1H5A3","Montréal-Nord"
664,989000,5,3,2231,2000,"H8Y3R4","Pierrefonds-Roxboro"
665,359000,4,2,330,1982,"H1E4M8","Rivière-des-Prairies–Pointe-aux-Trembles"
666,524900,2,1,300,1968,"H4J2A7","Ahuntsic-Cartierville"
667,334000,5,2,395,1955,"H1B4N9","Rivière-des-Prairies–Pointe-aux-Trembles"
668,389000,3,2,376,1984,"H1E2J8","Rivière-des-Prairies–Pointe-aux-Trembles"
669,929000,2,1,157,1900,"H2T2B1","Le Plateau-Mont-Royal"
670,939000,4,1,406,1978,"H8P2C8","LaSalle"
671,249000,3,1,184,1962,"H1E1G9","Rivière-des-Prairies–Pointe-aux-Trembles"
672,382500,3,1,412,1988,"H9H4W2","Pierrefonds-Roxboro"
673,1398000,5,2,199,1885,"H3K2K9","Le Sud-Ouest"
674,899000,3,1,950,1985,"H3K1E6","Le Sud-Ouest"
675,459500,3,1,286,1984,"H1K4X6","Anjou"
676,658000,3,2,440,1973,"H8R3S9","LaSalle"
677,349000,2,1,202,1930,"H8P2J3","LaSalle"
678,335000,3,1,372,1951,"H1Z3Y3","Villeray–Saint-Michel–Parc-Extension"
679,415000,2,2,460,1955,"H1K3Y6","Mercier–Hochelaga-Maisonneuve"
680,849000,4,2,143,1994,"H3E1X2","Verdun"
681,389000,2,1,103,1915,"H2G2V5","Rosemont–La Petite-Patrie"
682,938000,4,2,379,1947,"H4H1Z1","Verdun"
683,429000,3,1,305,1982,"H1L6L4","Mercier–Hochelaga-Maisonneuve"
684,469000,4,2,509,1964,"H9H2T9","Pierrefonds-Roxboro"
685,838000,4,2,292,1987,"H3E1R4","Verdun"
686,619000,4,1,530,1958,"H3M1H9","Ahuntsic-Cartierville"
687,498000,4,3,558,1987,"H1E1S4","Rivière-des-Prairies–Pointe-aux-Trembles"
688,1170000,3,2,256,1910,"H2S2S9","Rosemont–La Petite-Patrie"
689,349900,4,2,537,1969,"H9J2C1","Pierrefonds-Roxboro"
690,329000,2,2,458,1954,"H1G5C3","Montréal-Nord"
691,549000,2,1,192,1910,"H4E1L5","Le Sud-Ouest"
692,989000,4,3,1821,1860,"H1H1G2","Montréal-Nord"
693,749000,5,2,230,1950,"H4V2S5","Côte-des-Neiges–Notre-Dame-de-Grâce"
694,474900,5,2,683,1975,"H9E1E9","L'Île-Bizard–Sainte-Geneviève"
695,319000,4,2,373,1956,"H1H3T4","Montréal-Nord"
696,599000,3,2,239,1927,"H3L2G7","Ahuntsic-Cartierville"
697,928000,5,2,1489,1996,"H9E1S1","L'Île-Bizard–Sainte-Geneviève"
698,519800,3,2,697,1953,"H8Y1Z5","Pierrefonds-Roxboro"
699,389000,2,1,342,1942,"H4L3A5","Saint-Laurent"
700,469000,3,2,260,1962,"H4K1Y7","Saint-Laurent"
701,1228000,5,2,205,1922,"H3C2G8","Côte-des-Neiges–Notre-Dame-de-Grâce"
702,995000,6,3,312,2003,"H4L4R3","Saint-Laurent"
703,1349000,3,2,130,1885,"H2L4H3","Le Plateau-Mont-Royal"
